coral	BLUE	15853.53.0	Acer Chromebook 15 (CB315-1H, CB315-1HT)
coral	BRUCE	15853.53.0	Acer Chromebook Spin 15 (CP315)
coral	duplicate	15853.53.0	ASUS Chromebook C403
coral	EPAULETTE	15853.53.0	Acer Chromebook 514
coral	LAVA	15853.53.0	Acer Chromebook Spin 11 (CP311-1H, CP311-1HN)
coral	NASHER	15853.53.0	Dell Chromebook 11 (5190)
coral	NASHER360	15853.53.0	Dell Chromebook 11 2-in-1 (5190)
coral	RABBID	15853.53.0	ASUS Chromebook C423
coral	RABBID	15853.53.0	ASUS Chromebook CX1400CNA
coral	ROBO	15853.53.0	Lenovo 100e Chromebook
coral	ROBO360	15853.53.0	Lenovo 500e Chromebook
coral	SANTA	15853.53.0	Acer Chromebook 11 (CB311-8H, CB311-8HT)
coral	WHITETIP	15853.53.0	CTL Chromebook J41 / J41T
coral	WHITETIP	15853.53.0	PCmerge Chromebook AL116
coral	WHITETIP	15853.53.0	Prowise Chromebook Eduline
coral	WHITETIP	15853.53.0	Sector 5 E3 Chromebook
coral	WHITETIP	15853.53.0	Viglen Chromebook 11C
coral	WHITETIP	15853.53.0	whitetip
corsola	CHINCHOU	15853.53.0	CZ1204C
corsola	CHINCHOU360	15853.53.0	CZ1104F
corsola	MAGNETON	15853.53.0	IP Slim 3 Chrome 14M868
corsola	RUSTY	15853.53.0	Lenovo 100e Chromebook Gen 4
corsola	STEELIX	15853.53.0	Lenovo 300e Yoga Chromebook Gen 4
corsola	TENTACOOL	15853.53.0	ASUS Chromebook CM14 (CM1402C)
corsola	TENTACRUEL	15853.53.0	ASUS Chromebook CM14 Flip (CM1402F)
corsola	VOLTORB	15853.53.0	Acer Chromebook 311(C723,C723-TCO,C723T,C723T-TCO)
cyan	CYAN	14816.131.0	Acer Chromebook R11 (CB5-132T, C738T)
daisy-skate	SKATE	12105.100.0	HP Chromebook 11 G2
daisy	SNOW	12105.100.0	Samsung Chromebook - XE303
daisy-spring	SPRING	11316.165.0	HP Chromebook 11 G1
dedede	BEADRIX	15853.53.0	Allied Chromebook 11 N5100E
dedede	BEADRIX	15853.53.0	DINATECH Gen1 Chromebook  SG20JL1C
dedede	BEADRIX	15853.53.0	Multilaser Chromebook M11C-PC919
dedede	BEETLEY	15853.53.0	Lenovo Flex 3i Chromebook 15 IdeaPad Flex 3i Chromebook (15, 7)
dedede	BLIPPER	15853.53.0	Lenovo 3i-15 Chromebook
dedede	BOOKEM	15853.53.0	Lenovo 100e Chromebook Gen 3 (Intel)
dedede	BOTEN	15853.53.0	Lenovo 500e Chromebook Gen 3
dedede	BOTENFLEX	15853.53.0	Lenovo Flex 3i-11 Chromebook / IdeaPad Flex 3i Chromebook (11", 6)
dedede	BOXY	15853.53.0	Chromebox Micro
dedede	BUGZZY	15853.53.0	Galaxy Chromebook 2 360
dedede	CRET	15853.53.0	Dell Chromebook 3110
dedede	CRET360	15853.53.0	Dell Chromebook 3110 2-in-1
dedede	DEXI	15853.53.0	AOPEN Chromebox Mini 2 / AOPEN Chromebox Enterprise Mini 2 / AOPEN Chromebox Education Mini 2
dedede	DRAWCIA	15853.53.0	HP Chromebook x360 11 G4 EE
dedede	DRAWCIA	15853.53.0	HP Fortis x360 11 G3 J Chromebook / HP Fortis x360 11 G3 J Chromebook Enterprise
dedede	DRAWLAT	15853.53.0	HP Chromebook 11 G9 EE
dedede	DRAWMAN	15853.53.0	HP Chromebook 14 G7
dedede	DRAWPER	15853.53.0	HP Fortis 14 G10 Chromebook
dedede	GALITH	15853.53.0	ASUS Chromebook CX1500CKA
dedede	GALITH360	15853.53.0	CX1500FKA
dedede	GALLOP	15853.53.0	ASUS Chromebook CX1700CKA
dedede	GALNAT	15853.53.0	ASUS Chromebook CX1 CX1102
dedede	GALNAT360	15853.53.0	ASUS Chromebook Flip CX1 CX1102
dedede	GALTIC	15853.53.0	ASUS Chromebook CX1
dedede	GALTIC360	15853.53.0	CX1400FKA
dedede	KRACKO	15853.53.0	ADVAN Chromebook 116J
dedede	KRACKO	15853.53.0	Centerm Chromebook M610 / Centerm Enterprise Chromebook M610
dedede	KRACKO	15853.53.0	CTL Chromebook NL72
dedede	KRACKO	15853.53.0	Edxis Chromebook 11 (S30-C) / Edxis Chromebook 11 (S30-CT)
dedede	KRACKO	15853.53.0	Poin2 Chromebook 11B
dedede	KRACKO	15853.53.0	Zyrex Chromebook M432-64/Zyrex Chromebook M432-11
dedede	KRACKO360	15853.53.0	CTL Chromebook NL72T
dedede	KRACKO360	15853.53.0	LG Chromebook 11TC50Q/11TQ50Q
dedede	KRACKO360	15853.53.0	Poin2 Chromebook 11E
dedede	LANDIA	15853.53.0	HP Chromebook x360 14a-ca1
dedede	LANDRID	15853.53.0	HP Chromebook15a-na0
dedede	LANTIS	15853.53.0	HP Chromebook 14a-na1
dedede	MADOO	15853.53.0	Chromebook x360 14b-cb0
dedede	MAGISTER	15853.53.0	Acer Chromebook Spin 314 (CP314-1H, CP314-1HN)
dedede	MAGLET	15853.53.0	Acer Chromebook 512 (C852)
dedede	MAGLIA	15853.53.0	Acer Chromebook Spin 512 (R853TA) & Acer Chromebook spin 512 (R853TNA)
dedede	MAGLITH	15853.53.0	Acer Chromebook 511 (C734 , C734T, C733-R, C733T-R)
dedede	MAGMA	15853.53.0	Acer Chromebook 315 (CB315-4H , CB315-4HT)
dedede	MAGNETO	15853.53.0	Acer Chromebook 314 (CB314-3H , CB314-3HT, C934, C934T)
dedede	MAGNETO	15853.53.0	Packard Bell Chromebook 314
dedede	MAGNETO	15853.53.0	Packard Bell Chromebook 314(PCB314-2 , PCB314-2T)
dedede	MAGOLOR	15853.53.0	Acer Chromebook Spin 511 (R753T) & Acer Chromebook spin 511 (R753TN) & Acer Chromebook Spin 511(R752T-R)
dedede	MAGPIE	15853.53.0	Acer Chromebook 317
dedede	METAKNIGHT	15853.53.0	NEC Chromebook Y3
dedede	PASARA	15853.53.0	Gateway Chromebook 15
dedede	PEEZER	15853.53.0	Acer Chromebook 311(CO731)
dedede	PEEZER	15853.53.0	CA11J2
dedede	PEEZER	15853.53.0	CTL Chromebook PX11EG
dedede	PEEZER	15853.53.0	Multilaser Chromebook M11C-PC924
dedede	PIRETTE	15853.53.0	Axioo Chromebook P11/Axioo Chromebook P432
dedede	PIRETTE	15853.53.0	CTL Chromebook PX11E
dedede	PIRETTE	15853.53.0	SPC Chromebook Z1 Mini
dedede	PIRETTE	15853.53.0	Zyrex Chromebook M432-2
